,"ukr","en","NOTES – use \n for newline","max length"
"perk_lower_spread","Concentrated Spells","Concentrated Spells",,
"perkdesc_lower_spread","Your spells have lower spread, but they push you back more.","Your spells have lower spread, but they push you back more.",,
"perk_bounce","Bouncing Spells","Bouncing Spells",,
"perkdesc_bounce","Almost all your spells bounce around.","Almost all your spells bounce around.",,
"perk_projectile_homing_shooter","Boomerang Spells","Boomerang Spells",,
"perkdesc_projectile_homing_shooter","Almost all your spells arc towards you. You gain higher projectile resistance.","Almost all your spells arc towards you. You gain higher projectile resistance.",,
"perk_worm_attractor","Worm Attractor","Worm Attractor",,
"perkdesc_worm_attractor","Worms find you attractive.","Worms find you attractive.",,
"perk_worm_detractor","Worm Detractor","Worm Detractor",,
"perkdesc_worm_detractor","Worms run from you.","Worms run from you.",,
"perk_speed_diver","Fast Swimming","Fast Swimming",,
"perkdesc_speed_diver","You are an expert swimmer!","You are an expert swimmer!",,
"perk_revenge_tentacle","Revenge Tentacle","Revenge Tentacle",,
"perkdesc_revenge_tentacle","You call a monstrous tentacle against those who harm you.","You call a monstrous tentacle against those who harm you.",,
"perk_attack_foot","Lukki Mutation","Lukki Mutation",,
"perkdesc_attack_foot","You grow curious additional limbs that fight for you.","You grow curious additional limbs that fight for you.",,
"perk_plague_rats","Plague Rats","Plague Rats",,
"perkdesc_plague_rats","Enemies that die near you summon hungry rats to serve your bidding.","Enemies that die near you summon hungry rats to serve your bidding.",,
"perk_radar_enemy","Enemy Radar","Enemy Radar",,
"perkdesc_radar_enemy","You can sense nearby enemies.","You can sense nearby enemies.",,
"perk_radar_wand","Wand Radar","Wand Radar",,
"perkdesc_radar_wand","You can sense nearby wands.","You can sense nearby wands.",,
"perk_unlimited_spells","Unlimited Spells","Unlimited Spells",,
"perkdesc_unlimited_spells","Most spells are now unlimited.","Most spells are now unlimited.",,
"perk_leggy_feet","Leggy Mutation","Leggy Mutation",,
"perkdesc_leggy_feet","You grow disturbing looking limbs that fight for you.","You grow disturbing looking limbs that fight for you.",,
"perk_always_cast","Always Cast","Always Cast",,
"perkdesc_always_cast","A random Always Cast spell is added to the wand in your hand, with a maximum of 5.","A random Always Cast spell is added to the wand in your hand, with a maximum of 5.",,
"perk_no_more_shuffle","No More Shuffle","No More Shuffle",,
"perkdesc_no_more_shuffle","From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.","From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.",,
"perk_vampirism","Vampirism","Vampirism",,
"perk_no_wand_editing","No Wand Tinkering","No Wand Tinkering",,
"perkdesc_no_wand_editing","Wands cannot be tinkered with, but enemies may drop blood money.","Wands cannot be tinkered with, but enemies may drop blood money.",,
"perk_telekinesis","Telekinetic Kick","Telekinetic Kick",,
"perkdesc_telekinesis","You gain new telekinetic powers.","You gain new telekinetic powers.",,
"perk_projectile_duplicate","Duplicated shots","Duplicated shots",,
"perkdesc_projectile_duplicate","Your spells duplicate as they hit obstacles.","Your spells duplicate as they hit obstacles.",,
"perk_low_hp_damage_boost","Living on the Edge","Living on the Edge",,
"perkdesc_low_hp_damage_boost","Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.","Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.",,
"perk_faster_levitation","Faster Levitation","Faster Levitation",,
"perkdesc_faster_levitation","You levitate 75% faster.","You levitate 75% faster.",,
"perk_peace_with_steve","Peace with Gods","Peace with Gods",,
"perkdesc_peace_with_steve","You make peace with your Gods.","You make peace with your Gods.",,
"perk_gold_is_forever","Gold Is Forever","Gold Is Forever",,
"perkdesc_gold_is_forever","Gold nuggets never disappear.","Gold nuggets never disappear.",,
"perk_wand_experimenter","Wand Experimenter","Wand Experimenter",,
"perk_trick_blood_money","Trick Blood Money","Trick Blood Money",,
"perkdesc_trick_blood_money","Blood money is dropped when death is an accident.","Blood money is dropped when death is an accident.",,
"perk_levitation_trail","Levitation Trail","Levitation Trail",,
"perkdesc_levitation_trail","When levitating, you leave a trail of magical sparks that harm passing creatures.","When levitating, you leave a trail of magical sparks that harm passing creatures.",,
"perkdesc_wand_experimenter","Firing newly found and unmodified wands heals you.","Firing newly found and unmodified wands heals you.",,
"perk_protection_freeze","Freezing Immunity","Freezing Immunity",,
"perkdesc_protection_freeze","You cannot be frozen.","You cannot be frozen.",,
"item_mcguffin","Missing Key","Missing Key",,
"itemdesc_mcguffin","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_0","The Salt","The Salt",,
"itemdesc_mcguffin_0","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_1","Our Matter","Our Matter",,
"itemdesc_mcguffin_1","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_2","Hermes bird","Hermes bird",,
"itemdesc_mcguffin_2","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_3","White Eagle","White Eagle",,
"itemdesc_mcguffin_3","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_4","The Green Lion","The Green Lion",,
"itemdesc_mcguffin_4","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_5","Red Lion","Red Lion",,
"itemdesc_mcguffin_5","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_6","Celestial Ruby","Celestial Ruby",,
"itemdesc_mcguffin_6","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_7","Magnesia","Magnesia",,
"itemdesc_mcguffin_7","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_8","The Vessel of the Philosophers","The Vessel of the Philosophers",,
"itemdesc_mcguffin_8","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_9","Our Blessed Stone","Our Blessed Stone",,
"itemdesc_mcguffin_9","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_10","Magnum Opus","Magnum Opus",,
"itemdesc_mcguffin_10","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_11","Philosopher's Stone","Philosopher's Stone",,
"itemdesc_mcguffin_11","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_12","Sampo","Sampo",,
"itemdesc_mcguffin_12","This has been said to complete the Work","This has been said to complete the Work",,
"item_mcguffin_13","True Knowledge","True Knowledge",,
"itemdesc_mcguffin_13","You have completed the Work","You have completed the Work",,
"item_perk_reroll","Perk reroll","Perk reroll",,
"item_essence_fire","Essence of Fire","Essence of Fire",,
"itemdesc_essence_fire","Your entire being is fluctuating!","Your entire being is fluctuating!",,
"item_essence_laser","Essence of Earth","Essence of Earth",,
"itemdesc_essence_laser","Your being releases damaging light!","Your being releases damaging light!",,
"item_essence_air","Essence of Air","Essence of Air",,
"itemdesc_essence_air","Your being controls the air around you!","Your being controls the air around you!",,
"item_essence_water","Essence of Water","Essence of Water",,
"itemdesc_essence_water","The earth flows around you!","The earth flows around you!",,
"item_essence_alcohol","Essence of Spirits","Essence of Spirits",,
"itemdesc_essence_alcohol","That was not the best of ideas","That was not the best of ideas",,
"item_chest_treasure_super","Great treasure chest","Great treasure chest",,
"item_rock","Rock","Rock",,
"itemdesc_rock","It's a rock.","It's a rock.",,
"item_egg_hollow","Hollow egg","Hollow egg",,
"itemdesc_egg_hollow","I wonder if there's anything inside?","I wonder if there's anything inside?",,
"item_egg_worm","Wiggling egg","Wiggling egg",,
"item_description_egg_worm","Something wiggles inside","Something wiggles inside",,
"item_egg_purple","Chilly egg","Chilly egg",,
"item_description_egg_purple","The egg feels cold","The egg feels cold",,
"item_egg_fire","Toasty egg","Toasty egg",,
"item_description_egg_fire","The egg feels very warm","The egg feels very warm",,
"item_egg_slime","Slimy egg","Slimy egg",,
"item_description_egg_slime","The egg is covered in slime","The egg is covered in slime",,
"item_flute","Flutist's wand","Flutist's wand",,
"item_weathercrystal_book","Book of Balance","Book of Balance",,
"itemdesc_weathercrystal_book","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...",,
"item_chest_dark","Dark chest","Dark chest",,
"item_weathercrystal","Crystal of Balance","Crystal of Balance",,
"item_goldnugget_10","Gold nugget (10)","Gold nugget (10)",,
"item_goldnugget_50","Gold nugget (50)","Gold nugget (50)",,
"item_goldnugget_200","Gold nugget (200)","Gold nugget (200)",,
"item_goldnugget_1000","Gold nugget (1000)","Gold nugget (1000)",,
"item_goldnugget_10000","Golden Idol (10000)","Golden Idol (10000)",,
"item_runestone_laser","Runestone of light","Runestone of light",,
"item_runestone_fireball","Runestone of fire","Runestone of fire",,
"item_runestone_lava","Runestone of magma","Runestone of magma",,
"item_runestone_disc","Runestone of edges","Runestone of edges",,
"item_runestone_null","Runestone of emptiness","Runestone of emptiness",,
"item_runestone_slow","Runestone of weight","Runestone of weight",,
"itemdesc_runestone","A runestone with a strong magical aura. You feel like kicking it.","A runestone with a strong magical aura. You feel like kicking it.",,
"item_key","Crystal key","Crystal key",,
"itemdesc_key_0","The key is voiceless.","The key is voiceless.",,
"itemdesc_key_1","The key hums, but something is missing...","The key hums, but something is missing...",,
"itemdesc_key_2","The key whispers secrets and promises; it is ready.","The key whispers secrets and promises; it is ready.",,
"item_description_potion_usage","\n$0 on item - drink","\n$0 on item - drink",,
"item_jar","Jar","Jar",,
"item_description_jar","Equip and spray or throw","Equip and spray or throw",,
"item_jar_with_material","$0 jar","$0 jar",,
"item_broken_wand","Broken wand","Broken wand",,
"item_description_broken_wand","This wand has snapped in half but it still crackles with magical energy","This wand has snapped in half but it still crackles with magical energy",,
"item_thunderstone","Ukkoskivi","Ukkoskivi","doesn't need to be translated",
"item_description_thunderstone","This small rock makes you feel very charged.","This small rock makes you feel very charged.",,
"item_brimstone","Kiuaskivi","Kiuaskivi","doesn't need to be translated",
"item_description_brimstone","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.",,
"item_moon","Kuu","Kuu","doesn't need to be translated",
"item_description_moon","This tiny celestial object has a strong gravitational pull.","This tiny celestial object has a strong gravitational pull.",,
"item_waterstone","Vuoksikivi","Vuoksikivi",,
"item_description_waterstone","This small rock is hard and solid, yet seems to be gushing with water.","This small rock is hard and solid, yet seems to be gushing with water.",,
"item_bloodmoney","Bloody gold nugget","Bloody gold nugget",,
"item_bloodmoney_10","Bloody gold nugget (10)","Bloody gold nugget (10)",,
"item_bloodmoney_50","Bloody gold nugget (50)","Bloody gold nugget (50)",,
"item_bloodmoney_200","Bloody gold nugget (200)","Bloody gold nugget (200)",,
"item_bloodmoney_1000","Bloody gold nugget (1000)","Bloody gold nugget (1000)",,
"item_bloodmoney_10000","Bloody golden Idol (10000)","Bloody golden Idol (10000)",,
"item_die_roll","The die is rolling...","The die is rolling...",,
"item_die_1","The die rolled a 1!","The die rolled a 1!",,
"item_die_2","The die rolled a 2!","The die rolled a 2!",,
"item_die_3","The die rolled a 3!","The die rolled a 3!",,
"item_die_4","The die rolled a 4!","The die rolled a 4!",,
"item_die_5","The die rolled a 5!","The die rolled a 5!",,
"item_die_6","The die rolled a 6!","The die rolled a 6!",,
"item_die_bad","You're extremely unlucky...!","You're extremely unlucky...!",,
"item_die_good","You're extremely lucky!","You're extremely lucky!",,
"item_die","Chaos die","Chaos die",,
"itemdesc_die","Roll it for various prizes!","Roll it for various prizes!",,
"itempickup_open","Press $0 to open '$1'","Press $0 to open '$1'",,
"itempickup_orb","You discovered an orb of true Knowledge","You discovered an orb of true Knowledge",,
"itempickup_orb_evil","You discovered an orb of corrupted Knowledge","You discovered an orb of corrupted Knowledge",,
"itempickup_orb_discovered","You found a familiar orb of true Knowledge","You found a familiar orb of true Knowledge",,
"itempickupdesc_orb_discovered","You're rewarded with additional health","You're rewarded with additional health",,
"itempickupdesc_orb_00","Secrets of endless lava have been unlocked to you.","Secrets of endless lava have been unlocked to you.",,
"itempickupdesc_orb_01","Secrets of Earth's anger have been unlocked to you.","Secrets of Earth's anger have been unlocked to you.",,
"itempickupdesc_orb_02","Secrets of otherworldly life have been unlocked to you.","Secrets of otherworldly life have been unlocked to you.",,
"itempickupdesc_orb_03","Secrets of utter destruction have been unlocked to you.","Secrets of utter destruction have been unlocked to you.",,
"itempickupdesc_orb_04","Secrets of Undeath have been unlocked to you.","Secrets of Undeath have been unlocked to you.",,
"itempickupdesc_orb_05","Secrets of fire and brimstone have been unlocked to you.","Secrets of fire and brimstone have been unlocked to you.",,
"itempickupdesc_orb_06","Secrets of the Spiral have been unlocked to you.","Secrets of the Spiral have been unlocked to you.",,
"itempickupdesc_orb_07","Secrets of stormy skies have been unlocked to you.","Secrets of stormy skies have been unlocked to you.",,
"itempickupdesc_orb_08","Secrets of jubilation have been unlocked to you.","Secrets of jubilation have been unlocked to you.",,
"itempickupdesc_orb_09","Secrets of hidden danger have been unlocked to you.","Secrets of hidden danger have been unlocked to you.",,
"itempickupdesc_orb_10","Secrets of rebuilding have been unlocked to you.","Secrets of rebuilding have been unlocked to you.",,
"itempickupdesc_orb_11","This secret should not have been available for you.","This secret should not have been available for you.",,
"itempickupdesc_orb_13","Secrets of great undoing have been unlocked to you.","Secrets of great undoing have been unlocked to you.",,
"menu_mods","Mods","Mods",,
"menu_mods_availablemods","Available mods","Available mods",,
"menu_mods_availablemods_none","No mods installed","No mods installed",,
"menu_mods_enabled","Enabled","Enabled",,
"menu_mods_moveup","Move up","Move up",,
"menu_mods_movedown","Move down","Move down",,
"menu_mods_help_exp","This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.",,
"menu_mods_help","Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.",,
"menu_mods_help_paused","Changes will be applied on next restart.","Changes will be applied on next restart.",,
"menu_mods_openmodfolder","Open mod folder","Open mod folder",,
"menu_mods_restart","Restart with enabled mods active","Restart with enabled mods active",,
"menu_mods_restart_tooltip","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.",,
"menu_mods_newgame","Start a new game with enabled mods active","Start a new game with enabled mods active",,
"menu_mods_refresh","Refresh","Refresh",,
"menu_mods_reenablenotificiation","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.",,
"menu_mods_extraprivilegesareyousure","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?",,
"menu_mods_extraprivilegesnotification","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.",,
"menu_mods_workshopsandboxnotification","Workshop mods cannot be enabled while unsafe mods are on.","Workshop mods cannot be enabled while unsafe mods are on.",,
"menu_mods_enablinginvalid","This mod is broken and cannot be enabled [Error code #N0174H4X].","This mod is broken and cannot be enabled [Error code #N0174H4X].",,
"menu_mods_sandboxoffareyousure","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?",,
"menu_mods_sandboxoffareyousure_steam","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?",,
"menu_mods_sandboxoption","Unsafe mods: $0","Unsafe mods: $0",,
"menu_mods_initerrors_title","Errors occurred while initializing mods:","Errors occurred while initializing mods:",,
"menu_mods_customactivation","\nPlay this mod via the “New game” menu.","\nPlay this mod via the “New game” menu.",,
"menu_mods_translationactivation","\nEnable this translation via “Language” in the “Options” menu.","\nEnable this translation via “Language” in the “Options” menu.",,
"menu_mods_nameconflict","Cannot enable multiple mods with the id “$0”.","Cannot enable multiple mods with the id “$0”.",,
"menu_mods_installmods","Get mods","Get mods",,
"menu_mods_installmods_steam","Install mods using Workshop","Install mods using Workshop",,
"menu_mods_workshopdownloading","Downloading Workshop content $0","Downloading Workshop content $0",,
"menu_mods_workshop_mod_tooltip","This is a Steam Workshop mod.","This is a Steam Workshop mod.",,
"menu_mods_disclaimernotification_exp","This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.","This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.",,
"menu_mods_disclaimernotification","Use of mods is at your own risk!\nYou should only run mods from trusted sources.","Use of mods is at your own risk!\nYou should only run mods from trusted sources.",,
"menu_mods_initerrors_log","There were errors when initializing following mods: $0","There were errors when initializing following mods: $0",,
"menu_mods_workshopdownloading_noprogress","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.",,
"menu_mods_modversion_older","This mod has not been tested with the latest version of the modding interface.","This mod has not been tested with the latest version of the modding interface.",,
"menu_mods_modversion_newer","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.",,
"menu_mods_incompatibilities","Mods (!)","Mods (!)",,
"menu_mods_incompatibilities_tooltip","Some mods have possible incompatibilities","Some mods have possible incompatibilities",,
"option_allowed","Allowed","Allowed",,
"option_disabled","Disabled","Disabled",,
"menu_newgame_selectgamemode","Select game mode","Select game mode",,
"menu_quit","Quit","Quit",,
"menuautosave_text","Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?","Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?",,
"menuautosave_text_mods","Some mods were enabled and might have caused the crash.","Some mods were enabled and might have caused the crash.",,
"menuautosave_text_earlyaccess","Noita is in early access, we'll try to fix this. :/","Noita is in early access, we'll try to fix this. :/",,
"menuautosave_yes","Restore","Restore",,
"menuautosave_no","Nah. Destroy it","Nah. Destroy it",,
"menuoptions_configurecontrols_hint_gamepad","Press B on a control to reset it to default ","Press B on a control to reset it to default ",,
"menuoptions_configurecontrols_hint_keyboard","Right click on a key binding to reset it to default","Right click on a key binding to reset it to default",,
"menuoptions_privacypolicy","Privacy policy","Privacy policy",,
"menuoptions_showhoverinfonexttomouse","Show hovered material/item name next to mouse: $0","Show hovered material/item name next to mouse: $0",,
"menuoptions_replayrecorder_tooltip_exp","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!",,
"menuoptions_replayrecorder_tooltip","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!",,
"menuoptions_application_rendered_cursor_hint","Turn this on in case you can't see the mouse cursor.","Turn this on in case you can't see the mouse cursor.",,
"menuoptions_general","General","General",,
"menuoptions_graphics","Graphics","Graphics",,
"menuoptions_audio","Audio","Audio",,
"menuoptions_input","Input","Input",,
"menuoptions_streaming","Streaming","Streaming",,
"menuoptions_teleport_flash_brightness","Teleport flash brightness","Teleport flash brightness",,
"menuoptions_gamepaddetected","Gamepad detected!\nEnable gamepads via the Input tab.","Gamepad detected!\nEnable gamepads via the Input tab.",,
"menuoptions_replaybudget","Replay budget","Replay budget",,
"menuoptions_heading_window","WINDOW","WINDOW",,
"menuoptions_heading_replayrecorder","REPLAY RECORDER","REPLAY RECORDER",,
"menuoptions_heading_misc","MISCELLANEOUS","MISCELLANEOUS",,
"menuoptions_heading_rendering","RENDERING","RENDERING",,
"menuoptions_heading_userinterface_graphics","USER INTERFACE","USER INTERFACE",,
"menuoptions_heading_accessibility","ACCESSIBILITY","ACCESSIBILITY",,
"menuoptions_heading_volume","VOLUME","VOLUME",,
"menuoptions_heading_userinterface_input","USER INTERFACE","USER INTERFACE",,
"menuoptions_heading_gamepad","GAMEPAD","GAMEPAD",,
"menuoptions_heading_gameplay","GAMEPLAY","GAMEPLAY",,
"menuoptions_heading_compatibility","COMPATIBILITY","COMPATIBILITY",,
"menuoptions_heading_streaming_integration","TWITCH CHANNEL","TWITCH CHANNEL",,
"menuoptions_heading_streaming_integration_config","CONFIG","CONFIG",,
"menuoptions_heading_streaming_integration_mods","MODDING","MODDING",,
"menuoptions_heading_streaming_enabled_events","ENABLED EVENTS","ENABLED EVENTS",,
"menuoptions_format_seconds","$0 s","$0 s",,
"menuoptions_format_megabytes","$0 MB","$0 MB",,
"menuoptions_heading_online","ONLINE","ONLINE",,
"menuoptions_heading_userinterface_mouse","MOUSE","MOUSE",,
"menuoptions_heading_controls","KEYBOARD/MOUSE","KEYBOARD/MOUSE",,
"menuoptions_display_number","Display number: $0","Display number: $0",,
"menuoptions_online_features","Online features: $0","Online features: $0",,
"menuoptions_online_features_hint","Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.","Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.",,
"menuoptions_capturemouseinsidewindow","Lock mouse inside the window: $0","Lock mouse inside the window: $0",,
"menuoptions_pause_the_game_when_unfocused","Pause the game when unfocused: $0","Pause the game when unfocused: $0",,
"menuoptions_ui_snappy_hover_boxes","No hover box animations: $0","No hover box animations: $0",,
"menuoptions_dithering","Anti color banding (dithering): $0","Anti color banding (dithering): $0",,
"menuoptions_configuregamepad","Configure gamepad controls","Configure gamepad controls",,
"menuoptions_gamepad_analog_flying","Gamepad analog flying","Gamepad analog flying",,
"menuoptions_ui_allow_shooting_while_inventory_open","Allow firing of wands while inventory is open: $0","Allow firing of wands while inventory is open: $0",,
"menuoptions_gamepad_throwsprayscheme","New gamepad throw/spray scheme: $0","New gamepad throw/spray scheme: $0",,
"menuoldsavegame_text","A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.)","A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.)",,
"menuoldsavegame_text_update9","Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?","Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?",,
"menu_secretmode","Secret Mode","Secret Mode",,
"menu_selectworld","Select world","Select world",,
"menu_playtime","$0h $1 min","$0h $1 min",,
"menu_startnewworld","Start new world","Start new world",,
"menu_worldselect_deleteareyousure","Are you sure you want to delete the world in slot $0?\nThis cannot be undone.","Are you sure you want to delete the world in slot $0?\nThis cannot be undone.",,
"menu_worldselect_deleteareyousure_playing","Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.","Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.",,
"menu_worldselect_slot","World $0","World $0",,
"menu_worldselect_slot_playing","World $0 – PLAYING","World $0 – PLAYING",,
"menu_switchthrowandspray","We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.","We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.",,
"menu_newgame_modschangedrestart","The game will restart due to mod changes.","The game will restart due to mod changes.",,
"menu_progress_new","Progress ($0 new)","Progress ($0 new)",,
"menu_streamermode","Streamer mode: $0","Streamer mode: $0",,
"menu_streaming_description","Let stream viewers interact with your game through the Twitch chat.","Let stream viewers interact with your game through the Twitch chat.",,
"menu_streaming_description_details","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.",,
"menu_streaming_connect","Connect","Connect",,
"menu_streaming_disconnect","Disconnect","Disconnect",,
"menu_streaming_connect_twitch","Connect to Twitch account","Connect to Twitch account",,
"menu_streaming_status_connecting"," - CONNECTING..."," - CONNECTING...",,
"menu_streaming_status_connected"," - CONNECTED"," - CONNECTED",,
"menu_streaming_status_failed_unknown"," - CONNECTION FAILED"," - CONNECTION FAILED",,
"menu_streaming_status_failed_serverconnection"," - COULDN'T FIND SERVER"," - COULDN'T FIND SERVER",,
"menu_streaming_status_failed_timeout"," - TIMEOUT - NO SUCH CHANNEL?"," - TIMEOUT - NO SUCH CHANNEL?",,
"menu_streaming_connected","Connected to Twitch account: $0","Connected to Twitch account: $0",,
"menu_streaming_connect_failed","Twitch authentication failed","Twitch authentication failed",,
"menu_streaming_option","Streaming integration: $0","Streaming integration: $0",,
"menu_streaming_channelname","Channel name:","Channel name:",,
"menu_streaming_voting","Chat votes: $0","Chat votes: $0",,
"menu_streaming_voting_hint","Allow stream viewers to vote on events that take place in the game.","Allow stream viewers to vote on events that take place in the game.",,
"menu_streaming_allowusernames","Display user names","Display user names",,
"menu_streaming_allowusernames_hint","Allow events that display chat user names","Allow events that display chat user names",,
"menu_streaming_timebetweenvotes","Time between votes","Time between votes",,
"menu_streaming_timebetweenvotes_hint",,,,
"menu_streaming_timevoting","Voting time","Voting time",,
"menu_streaming_timevoting_hint","The duration of a single vote","The duration of a single vote",,
"menu_streaming_playvotesound","Play sound on new vote: $0","Play sound on new vote: $0",,
"menu_streaming_distribution","Vote event distribution","Vote event distribution",,
"menu_streaming_distribution_hint","Awful = very likely to ruin your run..\nBad = bad things can happen.\nNeutral = not necessarily goot or bad.\nGood = more health and other helpful events.","Awful = very likely to ruin your run..\nBad = bad things can happen.\nNeutral = not necessarily goot or bad.\nGood = more health and other helpful events.",,
"menu_streaming_distribution_awful","Awful","Awful",,
"menu_streaming_distribution_bad","Bad","Bad",,
"menu_streaming_distribution_neutral","Neutral","Neutral",,
"menu_streaming_distribution_good","Good","Good",,
"menu_streaming_usernames_ghosts","Tiny ghosts can be named after viewers: $0","Tiny ghosts can be named after viewers: $0",,
"menu_streaming_usernames_rats","Rats can be named after viewers: $0","Rats can be named after viewers: $0",,
"menu_streaming_installmods","Install streaming integration mods","Install streaming integration mods",,
"menu_streaming_mod","Streaming integration content mod","Streaming integration content mod",,
"streaming_integration_connectionerror","Connection error!","Connection error!",,
"streaming_integration_nextvotein","Next vote in $0 s","Next vote in $0 s",,
"streaming_integration_voteendsin","Voting ends in $0 s","Voting ends in $0 s",,
"streaming_integration_voteoptionformat","$0 ($1) <$2","$0 ($1) <$2",,
"streaming_integration_votetie","It's a tie! Picking random winner","It's a tie! Picking random winner",,
"streaming_integration_winner","The winner is:","The winner is:",,
"menu_replayedit_writinggif","Writing gif - please wait – press $0 to cancel","Writing gif - please wait – press $0 to cancel",,
"menu_replayedit_writinggif_frameprogress","Frame - $0 / $1 - $2%","Frame - $0 / $1 - $2%",,
"menu_replayedit_writinggif_timeremaining","$0 s remaining","$0 s remaining",,
"menu_replayedit_returntogame","Return to game $0","Return to game $0",,
"menu_replayedit_title_keyboard_exp","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.",,
"menu_replayedit_title_gamepad_exp","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.",,
