"","ukr","en","NOTES – use \n for newline","max length"
"perkdesc_no_more_shuffle","Biljšistj palyčok budutj bez tasuvannja. Palyčky u vašomu inventari takož budutj bez tasuvannja.","From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.","",""
"perk_vampirism","Vampiryzm","Vampirism","",""
"perk_no_wand_editing","Žodnyx manipuljacij z palyčkamy","No Wand Tinkering","",""
"perkdesc_no_wand_editing","Palyčky ne možna zminjuvaty, ale z voroğiv možutj vypadaty kryvavi ğroši.","Wands cannot be tinkered with, but enemies may drop blood money.","",""
"perk_telekinesis","Telekinetyčnyj kopnjak","Telekinetic Kick","",""
"perkdesc_telekinesis","Vy otrymujete novi telekinetyčni syly.","You gain new telekinetic powers.","",""
"perk_projectile_duplicate","Dubljovani postrily","Duplicated shots","",""
"perkdesc_projectile_duplicate","Vaši zaklynannja dubljuutjsja pry zitknenni z pereškodamy.","Your spells duplicate as they hit obstacles.","",""
"perk_low_hp_damage_boost","Žyttja na meži","Living on the Edge","",""
"perkdesc_low_hp_damage_boost","Vaši zaklynannja zavdajutj 3-kratnoï škody, koly u vas menše niž 25 OZ, abo 25% vid maksymaljnoğo zapasu zdorov'ja.","Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.","",""
"perk_faster_levitation","Švydša levitacija","Faster Levitation","",""
"perkdesc_faster_levitation","Vy levitujete na 75% švydše.","You levitate 75% faster.","",""
"perk_peace_with_steve","Myr z boğamy","Peace with Gods","",""
"perkdesc_peace_with_steve","Vy ukladajete myr zi svoïmy boğamy.","You make peace with your Gods.","",""
"perk_gold_is_forever","Vične zoloto","Gold Is Forever","",""
"perkdesc_gold_is_forever","Zoloti samorodky nikoly ne znykajutj.","Gold nuggets never disappear.","",""
"perk_wand_experimenter","Vidjma-eksperymentatorka","Wand Experimenter","",""
"perk_trick_blood_money","Xytri kryvavi ğroši","Trick Blood Money","",""
"perkdesc_trick_blood_money","Kryvavi ğroši vypadajutj, koly smertj je neŝasnym vypadkom.","Blood money is dropped when death is an accident.","",""
"perk_levitation_trail","Slid levitaciï","Levitation Trail","",""
"perkdesc_levitation_trail","Pid čas levitaciï vy zalyšajete za soboju slid z mağičnyx iskor, jaki zavdajutj škody istotam pry kontakti.","When levitating, you leave a trail of magical sparks that harm passing creatures.","",""
"perkdesc_wand_experimenter","Vykorystannja ŝojno znajdenyx i ne modyfikovanyx palyčok zciljuje vas.","Firing newly found and unmodified wands heals you.","",""
"perk_protection_freeze","Stijkistj do zamorožuvannja","Freezing Immunity","",""
"perkdesc_protection_freeze","Vas ne možna zamorozyty.","You cannot be frozen.","",""
"item_mcguffin","Vidsutnij ključ","Missing Key","",""
"itemdesc_mcguffin","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_0","Silj","The Salt","",""
"itemdesc_mcguffin_0","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_1","Naša materija","Our Matter","",""
"itemdesc_mcguffin_1","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_2","Ptax Ğermesa","Hermes bird","",""
"itemdesc_mcguffin_2","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_3","Bilyj orel","White Eagle","",""
"itemdesc_mcguffin_3","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_4","Zelenyj lev","The Green Lion","",""
"itemdesc_mcguffin_4","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_5","Červonyj lev","Red Lion","",""
"itemdesc_mcguffin_5","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_6","Nebesnyj rubin","Celestial Ruby","",""
"itemdesc_mcguffin_6","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_7","Mağnezija","Magnesia","",""
"itemdesc_mcguffin_7","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_8","Posudyna filosofiv","The Vessel of the Philosophers","",""
"itemdesc_mcguffin_8","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_9","Naš blağoslovennyj kaminj","Our Blessed Stone","",""
"itemdesc_mcguffin_9","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_10","Mağnum Opus","Magnum Opus","",""
"itemdesc_mcguffin_10","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_11","Filosofsjkyj kaminj","Philosopher's Stone","",""
"itemdesc_mcguffin_11","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_12","Sampo","Sampo","",""
"itemdesc_mcguffin_12","Ce maje doveršyty Tvir","This has been said to complete the Work","",""
"item_mcguffin_13","Istynne znannja","True Knowledge","",""
"itemdesc_mcguffin_13","Vy zakinčyly Tvir","You have completed the Work","",""
"item_perk_reroll","Inši zdibnosti","Perk reroll","",""
"item_essence_fire","Esencija voğnju","Essence of Fire","",""
"itemdesc_essence_fire","Vse vaše jestvo kolyvajetjsja!","Your entire being is fluctuating!","",""
"item_essence_laser","Esencija Zemli","Essence of Earth","",""
"itemdesc_essence_laser","Vaše jestvo vyprominjuje zğubne svitlo!","Your being releases damaging light!","",""
"item_essence_air","Esencija povitrja","Essence of Air","",""
"itemdesc_essence_air","Vaše jestvo keruje povitrjam navkolo vas!","Your being controls the air around you!","",""
"item_essence_water","Esencija vody","Essence of Water","",""
"itemdesc_essence_water","Zemlja teče navkolo vas!","The earth flows around you!","",""
"item_essence_alcohol","Esencija duxiv","Essence of Spirits","",""
"itemdesc_essence_alcohol","Ce bula ne najkraŝa ideja","That was not the best of ideas","",""
"item_chest_treasure_super","Velyka skrynja zi skarbamy","Great treasure chest","",""
"item_rock","Kaminj","Rock","",""
"itemdesc_rock","Ce kaminj.","It's a rock.","",""
"item_egg_hollow","Porožnje jajce","Hollow egg","",""
"itemdesc_egg_hollow","Cikavo, čy je ŝosj vseredyni?","I wonder if there's anything inside?","",""
"item_egg_worm","Jajce, ŝo vorušytjsja","Wiggling egg","",""
"item_description_egg_worm","Ŝosj vorušytjsja vseredyni","Something wiggles inside","",""
"item_egg_purple","Xolodne jajce","Chilly egg","",""
"item_description_egg_purple","Jajce zdajetjsja xolodnym","The egg feels cold","",""
"item_egg_fire","Ğarjače jajce","Toasty egg","",""
"item_description_egg_fire","Jajce zdajetjsja duže teplym","The egg feels very warm","",""
"item_egg_slime","Slyzjke jajce","Slimy egg","",""
"item_description_egg_slime","Jajce vkryte slyzom","The egg is covered in slime","",""
"item_flute","Palyčka flejtysta","Flutist's wand","",""
"item_weathercrystal_book","Knyğa rivnovağy","Book of Balance","",""
"itemdesc_weathercrystal_book","Kažutj, ŝob dosjağty velykoğo bağatstva, treba buty ğotovym zrujnuvaty samu osnovu cjoğo svitu. Odnak, jakŝo xtosj ce zrobytj, vin bude prokljatyj. Ale ž ïxnja vlasna žadibnistj sama po sobi i je prokljattjam...","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...","",""
"item_chest_dark","Temna skrynja","Dark chest","",""
"item_weathercrystal","Krystal rivnovağy","Crystal of Balance","",""
"item_goldnugget_10","Zolotyj samorodok (10)","Gold nugget (10)","",""
"item_goldnugget_50","Zolotyj samorodok (50)","Gold nugget (50)","",""
"item_goldnugget_200","Zolotyj samorodok (200)","Gold nugget (200)","",""
"item_goldnugget_1000","Zolotyj samorodok (1000)","Gold nugget (1000)","",""
"item_goldnugget_10000","Zolotyj idol (10000)","Golden Idol (10000)","",""
"item_runestone_laser","Runičnyj kaminj svitla","Runestone of light","",""
"item_runestone_fireball","Runičnyj kaminj voğnju","Runestone of fire","",""
"item_runestone_lava","Runičnyj kaminj mağmy","Runestone of magma","",""
"item_runestone_disc","Runičnyj kaminj ğranej","Runestone of edges","",""
"item_runestone_null","Runičnyj kaminj porožneči","Runestone of emptiness","",""
"item_runestone_slow","Runičnyj kaminj vağy","Runestone of weight","",""
"itemdesc_runestone","Runičnyj kaminj z syljnoju mağičnoju auroju. Joğo tak i xočetjsja kopnuty.","A runestone with a strong magical aura. You feel like kicking it.","",""
"item_key","Kryštalevyj ključ","Crystal key","",""
"itemdesc_key_0","Ključ bezzvučnyj.","The key is voiceless.","",""
"itemdesc_key_1","Ključ dzvenytj, ale čoğosj ne vystačaje...","The key hums, but something is missing...","",""
"itemdesc_key_2","Kiš šepoče tajemnyci j obicjanky. Vin ğotovyj.","The key whispers secrets and promises, it is ready.","",""
"item_description_potion_usage","\n$0 na predmet — pyty","\n$0 on item - drink","",""
"item_jar","Banka","Jar","",""
"item_description_jar","Sporjady j rozpyljuj abo kydaj","Equip and spray or throw","",""
"item_jar_with_material","0$ v banci","$0 jar","",""
"item_broken_wand","Zlamana palyčka","Broken wand","",""
"item_description_broken_wand","Cja palyčka perelomylasja navpil, ale vse ŝe potriskuje mağičnoju enerğijeju","This wand has snapped in half but it still crackles with magical energy","",""
"item_thunderstone","Ukkoskivi","Ukkoskivi","doesn't need to be translated",""
"item_description_thunderstone","Cej malenjkyj kaminčyk zmušuje vas vidčuvaty sebe duže zarjadženym.","This small rock makes you feel very charged.","",""
"item_brimstone","Kiuaskivi","Kiuaskivi","doesn't need to be translated",""
"item_description_brimstone","Cej kryxitnyj kaminj vyğljadaje duže palkym, ale pry dotyku vidčuvajetjsja lyše pryjemne teplo.","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.","",""
"item_moon","Kuu","Kuu","doesn't need to be translated",""
"item_description_moon","Cej kryxitnyj nebesnyj ob'jekt maje syljne ğravitacijne tjažinnja.","This tiny celestial object has a strong gravitational pull.","",""
"item_waterstone","Vuoksikivi","Vuoksikivi","",""
"item_description_waterstone","Cej nevelykyj kaminj tverdyj i micnyj, ale, zdajetjsja, nače vin fontanuje vodoju.","This small rock is hard and solid, yet seems to be gushing with water.","",""
"item_bloodmoney","Kryvavyj zolotyj samorodok","Bloody gold nugget","",""
"item_bloodmoney_10","Kryvavyj zolotyj samorodok (10)","Bloody gold nugget (10)","",""
"item_bloodmoney_50","Kryvavyj zolotyj samorodok (50)","Bloody gold nugget (50)","",""
"item_bloodmoney_200","Kryvavyj zolotyj samorodok (200)","Bloody gold nugget (200)","",""
"item_bloodmoney_1000","Kryvavyj zolotyj samorodok (1000)","Bloody gold nugget (1000)","",""
"item_bloodmoney_10000","Kryvavyj zolotyj idol (10000)","Bloody golden Idol (10000)","",""
"item_die_roll","Kydajemo kubyk...","The die is rolling...","",""
"item_die_1","Vypalo 1!","The die rolled a 1!","",""
"item_die_2","Vypalo 2!","The die rolled a 2!","",""
"item_die_3","Vypalo 3!","The die rolled a 3!","",""
"item_die_4","Vypalo 4!","The die rolled a 4!","",""
"item_die_5","Vypalo 5!","The die rolled a 5!","",""
"item_die_6","Vypalo 6!","The die rolled a 6!","",""
"item_die_bad","Vy nejmovirno ne udačlyvi...!","You're extremely unlucky...!","",""
"item_die_good","Vy nejmovirno udačlyvi!","You're extremely lucky!","",""
"item_die","Kubyk xaosu","Chaos die","",""
"itemdesc_die","Kydajte joğo dlja otrymannja riznyx pryziv!","Roll it for various prizes!","",""
"itempickup_open","Natysnitj $0, ŝob vidkryty «$1»","Press $0 to open '$1'","",""
"itempickup_orb","Vy znajšly sferu istynnyx znanj","You discovered an orb of true Knowledge","",""
"itempickup_orb_evil","Vy znajšly sferu prokljatyx znanj","You discovered an orb of corrupted Knowledge","",""
"itempickup_orb_discovered","Vy znajšly znajomu sferu istynnyx znanj","You found a familiar orb of true Knowledge","",""
"itempickupdesc_orb_discovered","Vy nağorodženi dodatkovym zdorov'jam","You're rewarded with additional health","",""
"itempickupdesc_orb_00","Vam vidkryti tajemnyci neskinčennoï lavy.","Secrets of endless lava have been unlocked to you.","",""
"itempickupdesc_orb_01","Vam vidkryti tajemnyci ğnivu Zemli.","Secrets of Earth's anger have been unlocked to you.","",""
"itempickupdesc_orb_02","Vam vidkryti tajemnyci potojbičnoğo žyttja.","Secrets of otherworldly life have been unlocked to you.","",""
"itempickupdesc_orb_03","Tajemnyci cilkovytoğo znyŝennja buly vidkryti dlja vas.","Secrets of utter destruction have been unlocked to you.","",""
"itempickupdesc_orb_04","Tajemnyci pekla buly vidkryti dlja vas.","Secrets of Undeath have been unlocked to you.","",""
"itempickupdesc_orb_05","Tajemnyci voğnju i sirky buly vidkryti dlja vas.","Secrets of fire and brimstone have been unlocked to you.","",""
"itempickupdesc_orb_06","Tajemnyci Spirali buly vidkryti dlja vas.","Secrets of the Spiral have been unlocked to you.","",""
"itempickupdesc_orb_07","Tajemnyci ğrozovyx nebes buly vidkryti dlja vas.","Secrets of stormy skies have been unlocked to you.","",""
"itempickupdesc_orb_08","Tajemnyci radosti buly vidkryti dlja vas.","Secrets of jubilation have been unlocked to you.","",""
"itempickupdesc_orb_09","Tajemnyci pryxovanoï nebezpeky buly vidkryty dlja vas.","Secrets of hidden danger have been unlocked to you.","",""
"itempickupdesc_orb_10","Tajemnyci vidbudovy buly vidkryti dlja vas.","Secrets of rebuilding have been unlocked to you.","",""
"itempickupdesc_orb_11","Cja tajemnycja ne povynna bula buty dostupnoju dlja vas.","This secret should not have been available for you.","",""
"itempickupdesc_orb_13","Tajemnyci velykoğo znyŝennja buly vidkryti dlja vas.","Secrets of great undoing have been unlocked to you.","",""
"menu_mods","Modyfikaciï","Mods","",""
"menu_mods_availablemods","Dostupni modyfikaciï","Available mods","",""
"menu_mods_availablemods_none","Modyfikacij ne vstanovleno","No mods installed","",""
"menu_mods_enabled","Uvimkneno","Enabled","",""
"menu_mods_moveup","Uverx","Move up","",""
"menu_mods_movedown","Unyz","Move down","",""
"menu_mods_help_exp","Ce eksperymentaljna funkcija.\nVykorystovujte na vlasnyj ryzyk. Zapuskajte mody lyše z perevirenyx džerel!\nNajvyŝi uvimkneni mody bude zavantaženo peršymy.\nKlacnitj na nazvu moda, ŝob uvimknuty/vymknuty joğo.","This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","",""
"menu_mods_help","Vykorystovujte mody na svij strax i ryzyk. Zapuskajte mody lyše z perevirenyx džerel!\nModyfikaciï vyŝe budutj zavantaženi peršymy.\nKlacnitj na nazvu moda, ŝob uvimknuty/vymknuty joğo.","Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","",""
"menu_mods_help_paused","Zminy naberutj čynnosti pislja nastupnoğo perezapusku.","Changes will be applied on next restart.","",""
"menu_mods_openmodfolder","Vidkryty teku modyfikacij","Open mod folder","",""
"menu_mods_restart","Perezapustyty z uvimknenymy modyfikacijamy","Restart with enabled mods active","",""
"menu_mods_restart_tooltip","Poperedžennja: Dejaki modyfikaciï možutj poğano perenosyty uvimknennja/vymknennja u ğri, čerez ce možutj z'javytysja pomylky, dyvnosti ta ğra može vyletity.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","",""
"menu_mods_newgame","Počaty novu ğru z aktyvnymy modyfikacijamy","Start a new game with enabled mods active","",""
"menu_mods_refresh","Onovyty","Refresh","",""
"menu_mods_reenablenotificiation","U cij versiï zmineno povedinku modiv.\nVsi mody potribno povtorno uvimknuty u menju «Modyfikaciï».","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","",""
"menu_mods_extraprivilegesareyousure","Cej mod zaprosyv dodatkovi pryvileï.\nJakŝo joğo uvimknuty, vin matyme povnyj dostup do vašoğo komp'jutera,\nnavitj bez vykorystannja možlyvyx vrazlyvostej u kodi ğry.\nVy vpevneni, ŝo xočete dovirjaty cjomu modu?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","",""
"menu_mods_extraprivilegesnotification","Cej mod zaprosyv dodatkovi pryvileï.\nNebezpečni modyfikaciï majutj buty uvimkneni dlja zapusku cjoğo moda.","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","",""
"menu_mods_workshopsandboxnotification","Mody majsterni ne možutj buty uvimkneni, jakŝo nebezpečni modyfikaciï dozvoleno.","Workshop mods cannot be enabled while unsafe mods are on.","",""
"menu_mods_enablinginvalid","Cej mod nespravnyj i ne može buty uvimknenyj [Kod pomylky #N0174H4X].","This mod is broken and cannot be enabled [Error code #N0174H4X].","",""
"menu_mods_sandboxoffareyousure","Uvimknennja nebezpečnyx modyfikacij nadaje usim vstanovlenym modyfikacijam povnyj dostup do vašoğo komp'jutera.\nVy vpevneni?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","",""
"menu_mods_sandboxoffareyousure_steam","Uvimknennja nebezpečnyx modyfikacij nadaje vsim vstanovlenym modyfikacijam povnyj dostup do vašoğo komp'jutera.\nVy vpevneni?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","",""
"menu_mods_sandboxoption","Nebezpečni modyfikaciï: $0","Unsafe mods: $0","",""
"menu_mods_initerrors_title","Vynykly pomylky pid čas inicializaciï modiv:","Errors occurred while initializing mods:","",""
"menu_mods_customactivation","\nZapustitj ğru z cym modom čerez menju «Nova ğra».","\nPlay this mod via the “New game” menu.","",""
"menu_mods_translationactivation","\nUvimknitj cej pereklad čerez punkt «Mova» v menju «Nalaštuvannja».","\nEnable this translation via “Language” in the “Options” menu.","",""
"menu_mods_nameconflict","Nemožlyvo aktyvuvaty dekiljka modyfikacij z identyfikatorom «$0».","Cannot enable multiple mods with the id “$0”.","",""
"menu_mods_installmods","Zavantažyty modyfikaciï","Get mods","",""
"menu_mods_installmods_steam","Vstanovyty modyfikaciï z majsterni Steam","Install mods using Workshop","",""
"menu_mods_workshopdownloading","Zavantažennja vmistu majsterni «$0»","Downloading Workshop content $0","",""
"menu_mods_workshop_mod_tooltip","Ce mod z majsterni Steam.","This is a Steam Workshop mod.","",""
"menu_mods_disclaimernotification_exp","Ce eksperymentaljna funkcija.\nVykorystovujte na svij strax i ryzyk!\nVam varto zapuskaty modyfikaciï tiljky z perevirenyx džerel.","This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.","",""
"menu_mods_disclaimernotification","Vykorystovujte modyfikacij na svij strax i ryzyk!\nVam varto zapuskaty modyfikaciï tiljky z perevirenyx džerel.","Use of mods is at your own risk!\nYou should only run mods from trusted sources.","",""
"menu_mods_initerrors_log","Vynykly pomylky pid čas inicializaciï takyx modyfikacij: $0","There were errors when initializing following mods: $0","",""
"menu_mods_workshopdownloading_noprogress","Zavantažennja vmistu majsterni «$0»\nJakŝo zavantažennja ne vidbuvajetjsja,\nmožlyvo, vam slid zminyty ïxnij priorytet u spysku zavantaženj biblioteky Steam.","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.","",""
"menu_mods_modversion_older","Cej mod ne testuvavsja z ostannjoju versijeju interfejsu modynğu.","This mod has not been tested with the latest version of the modding interface.","",""
"menu_mods_modversion_newer","Cej mod buv stvorenyj z novišoju versijeju interfejsu modynğu.\nMože potrebuvaty novišu versiju ğry.\nAbo, možlyvo, rozrobnyk modyfikaciï prosto vykorystovuje novu versiju ğry,\nta vin sumisnyj z potočnoju.","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","",""
"menu_mods_incompatibilities","Modyfikaciï (!)","Mods (!)","",""
"menu_mods_incompatibilities_tooltip","Dejaki mody možutj buty nesumisnymy","Some mods have possible incompatibilities","",""
"option_allowed","Dozvoleni","Allowed","",""
"option_disabled","Vymkneno","Disabled","",""
"menu_newgame_selectgamemode","Vyberitj režym ğry","Select game mode","",""
"menu_quit","Vyjty","Quit","",""
"menuautosave_text","Avtozberežennja znajdeno. Sxože, ŝo ğra vyletila.\nČy varto sprobuvaty vidnovyty avtozberežennja?","Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?","",""
"menuautosave_text_mods","Dejaki mody buly uvimkneni ta, možlyvo, spryčynyly zbij.","Some mods were enabled and might have caused the crash.","",""
"menuautosave_text_earlyaccess","Noita znaxodytjsja v rannjomu dostupi, my postarajemosja ce vypravyty. :/","Noita is in early access, we'll try to fix this. :/","",""
"menuautosave_yes","Vidnovyty","Restore","",""
"menuautosave_no","Nje, znyŝte joğo","Nah. Destroy it","",""
"menuoptions_configurecontrols_hint_gamepad","Natysnitj B na kontroleri, ŝob skynuty do počatkovyx ","Press B on a control to reset it to default ","",""
"menuoptions_configurecontrols_hint_keyboard","Klacnitj PKM na pryv'jazanu klavišu, ŝob vidnovyty značennja za zamovčuvannjam","Right click on a key binding to reset it to default","",""
"menuoptions_privacypolicy","Polityka konfidencijnosti","Privacy policy","",""
"menuoptions_showhoverinfonexttomouse","Pokazuvaty nazvu materialu/elementa pry navedenni myši: $0","Show hovered material/item name next to mouse: $0","",""
"menuoptions_replayrecorder_tooltip_exp","EKSPERYMENTALJNA FUNKCIJA\nNatysnitj $0, ŝob zbereğty povtor u budj-jakij točci ğry.\n\nZanadto vysoke značennja ""Bjudžetu povtoriv"" može znyzyty produktyvnistj\nabo pryzvesty do avarijnoğo zaveršennja ğry. Vykorystovujte na svij strax i ryzyk!","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","",""
"menuoptions_replayrecorder_tooltip","Natysnitj $0, ŝob zbereğty povtor u budj-jakij točci ğry.\n\nZanadto vysoke značennja parametra ""Bjudžet povtoru"" može znyzyty produktyvnistj abo pryzvesty do avarijnoğo zaveršennja ğry. Vykorystovujte na svij strax i ryzyk!","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","",""
"menuoptions_application_rendered_cursor_hint","Uvimknitj cju opciju, jakŝo vy ne bačyte kursor myši.","Turn this on in case you can't see the mouse cursor.","",""
"menuoptions_general","Zağaljni","General","",""
"menuoptions_graphics","Ğrafika","Graphics","",""
"menuoptions_audio","Audio","Audio","",""
"menuoptions_input","Vvedennja","Input","",""
"menuoptions_streaming","Transljuvannja","Streaming","",""
"menuoptions_teleport_flash_brightness","Jaskravistj spalaxu teleportaciï","Teleport flash brightness","",""
"menuoptions_gamepaddetected","Kontroler vyjavleno!\nUvimknitj kontrolery čerez vkladku «Vvedennja».","Gamepad detected!\nEnable gamepads via the Input tab.","",""
"menuoptions_replaybudget","Misce dlja povtoriv","Replay budget","",""
"menuoptions_heading_window","VIKNO","WINDOW","",""
"menuoptions_heading_replayrecorder","VIDTVORJUVAČ POVTORIV","REPLAY RECORDER","",""
"menuoptions_heading_misc","RIZNE","MISCELLANEOUS","",""
"menuoptions_heading_rendering","VIZUALIZACIJA","RENDERING","",""
"menuoptions_heading_userinterface_graphics","INTERFEJS KORYSTUVAČA","USER INTERFACE","",""
"menuoptions_heading_accessibility","DOSTUPNISTJ","ACCESSIBILITY","",""
"menuoptions_heading_volume","ĞUČNISTJ","VOLUME","",""
"menuoptions_heading_userinterface_input","INTERFEJS KORYSTUVAČA","USER INTERFACE","",""
"menuoptions_heading_gamepad","KONTROLER","GAMEPAD","",""
"menuoptions_heading_gameplay","IĞROLAD","GAMEPLAY","",""
"menuoptions_heading_compatibility","SUMISNISTJ","COMPATIBILITY","",""
"menuoptions_heading_streaming_integration","KANAL TWITCH","TWITCH CHANNEL","",""
"menuoptions_heading_streaming_integration_config","KONFIĞURACIJA","CONFIG","",""
"menuoptions_heading_streaming_integration_mods","MODYNĞ","MODDING","",""
"menuoptions_heading_streaming_enabled_events","UVIMKNENI PODIÏ","ENABLED EVENTS","",""
"menuoptions_format_seconds","$0 s","$0 s","",""
"menuoptions_format_megabytes","$0 MB","$0 MB","",""
"menuoptions_heading_online","MEREŽA","ONLINE","",""
"menuoptions_heading_userinterface_mouse","MYŠA","MOUSE","",""
"menuoptions_heading_controls","KLAVIATURA/MYŠA","KEYBOARD/MOUSE","",""
"menuoptions_display_number","Nomer dyspleja: $0","Display number: $0","",""
"menuoptions_online_features","Mereževi funkciï: $0","Online features: $0","",""
"menuoptions_online_features_hint","Vymknitj, ŝob zapobiğty pidključennju ğry do serveriv Nolla Games.\nCe može pereškodžaty roboti dejakyx funkcij.","Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.","",""
"menuoptions_capturemouseinsidewindow","Zablokuvaty kursor vseredyni vikna: $0","Lock mouse inside the window: $0","",""
"menuoptions_pause_the_game_when_unfocused","Pryzupynjaty ğru pry zğortanni vikna: $0","Pause the game when unfocused: $0","",""
"menuoptions_ui_snappy_hover_boxes","Animacija pry navedenni na elementy v inventari: $0","No hover box animations: $0","",""
"menuoptions_dithering","Antyrozbižnistj koljoriv (Dyterynğ): $0","Anti color banding (dithering): $0","",""
"menuoptions_configuregamepad","Nalaštuvannja kontrolera","Configure gamepad controls","",""
"menuoptions_gamepad_analog_flying","Džojstyk dlja poljotu: $0","Gamepad analog flying","",""
"menuoptions_ui_allow_shooting_while_inventory_open","Dozvolyty striljaty palyčkamy, koly inventar vidkrytyj: $0","Allow firing of wands while inventory is open: $0","",""
"menuoptions_gamepad_throwsprayscheme","Nova sxema kydka/rozpylennja z ğejmpada: $0","New gamepad throw/spray scheme: $0","",""
"menuoldsavegame_text","Vyjavleno zberežennja ğry zi staroju versijeju.\nBažajete prodovžyty ğru? (Možutj vidbuvatysja dyvni reči.)","A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.)","",""
"menuoldsavegame_text_update9","Pislja zavantažennja u sviti možutj z'javytysja porožni kvadraty prostoru.\nPrysluxajtesja do moğo poperedžennja — ce može rozğnivaty boğiv!\nBažajete prodovžyty?","Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?","",""
"menu_secretmode","Sekretnyj režym","Secret Mode","",""
"menu_selectworld","Vyberitj svit","Select world","",""
"menu_playtime","$0ğ $1 xv","$0h $1 min","",""
"menu_startnewworld","Počaty novyj svit","Start new world","",""
"menu_worldselect_deleteareyousure","Vy vpevneni, ŝo xočete vydalyty svit v komirci $0?\nCja dija je nezvorotnoju.","Are you sure you want to delete the world in slot $0?\nThis cannot be undone.","",""
"menu_worldselect_deleteareyousure_playing","Vy vpevneni, ŝo xočete vydalyty svit, u jakomu zaraz ğrajete?\nCja dija je nezvorotnoju.","Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.","",""
"menu_worldselect_slot","Svit $0","World $0","",""
"menu_worldselect_slot_playing","Svit $0 — POTOČNYJ","World $0 – PLAYING","",""
"menu_switchthrowandspray","My zminyly značennja za zamovčuvannjam dejakyx parametriv:\nPryv'jazky vvodu dlja kydka i rozpylennja pominjano miscjamy.\nInventar potribno zakryty, ŝob vykorystovuvaty zaklynannja.\nBažajete uvimknuty novi značennja za zamovčuvannjam? Ïx možna zminyty u menju Parametry.","We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.","",""
"menu_newgame_modschangedrestart","Ğru bude perezapuŝeno čerez zminu modyfikacij.","The game will restart due to mod changes.","",""
"menu_progress_new","Proğres (Novoğo: $0)","Progress ($0 new)","",""
"menu_streamermode","Režym transljaciï: $0","Streamer mode: $0","",""
"menu_slider_percentage","$0%","$0%","",""
"menu_streaming_description","Dozvoljte ğljadačam vzajemodijaty z ğroju čerez Twitch čat.","Let stream viewers interact with your game through the Twitch chat.","",""
"menu_streaming_description_details","Napyšitj v čat ""1"", ""2"", ""3"", abo ""4"", ŝob proğolosuvaty za\nriznomanitni podiï z ğry.","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.","",""
"menu_streaming_connect","Pid’jednaty","Connect","",""
