"","ukr","en","","","NOTES – use \n for newline","max length"
"itempickupdesc_orb_03","Secrets of utter destruction have been unlocked to you.","Secrets of utter destruction have been unlocked to you.","","","",""
"itempickupdesc_orb_04","Secrets of Undeath have been unlocked to you.","Secrets of Undeath have been unlocked to you.","","","",""
"itempickupdesc_orb_05","Secrets of fire and brimstone have been unlocked to you.","Secrets of fire and brimstone have been unlocked to you.","","","",""
"itempickupdesc_orb_06","Secrets of the Spiral have been unlocked to you.","Secrets of the Spiral have been unlocked to you.","","","",""
"itempickupdesc_orb_07","Secrets of stormy skies have been unlocked to you.","Secrets of stormy skies have been unlocked to you.","","","",""
"itempickupdesc_orb_08","Secrets of jubilation have been unlocked to you.","Secrets of jubilation have been unlocked to you.","","","",""
"itempickupdesc_orb_09","Secrets of hidden danger have been unlocked to you.","Secrets of hidden danger have been unlocked to you.","","","",""
"itempickupdesc_orb_10","Secrets of rebuilding have been unlocked to you.","Secrets of rebuilding have been unlocked to you.","","","",""
"itempickupdesc_orb_11","This secret should not have been available for you.","This secret should not have been available for you.","","","",""
"itempickupdesc_orb_13","Secrets of great undoing have been unlocked to you.","Secrets of great undoing have been unlocked to you.","","","",""
"menu_mods","Модифікації","Mods","","","",""
"menu_mods_availablemods","Доступні модифікації","Available mods","","","",""
"menu_mods_availablemods_none","Модифікацій не встановлено","No mods installed","","","",""
"menu_mods_enabled","Увімкнено","Enabled","","","",""
"menu_mods_moveup","Вверх","Move up","","","",""
"menu_mods_movedown","Вниз","Move down","","","",""
"menu_mods_help_exp","Це експериментальна функція.\nВикористовуйте на свій страх і ризик. Запускайте модифікації лише з перевірених джерел!\nМодифікації, що стоять вище, будуть завантажуватися першими.\nКлацніть на назву мода, щоб увімкнути/вимкнути його.","This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","","","",""
"menu_mods_help","Використовуйте модифікації на свій страх і ризик. Запускайте модифікації тільки з перевірених джерел!\nМодифікації, що стоять вище, будуть завантажуватися першими.\nКлацніть на назву модифікації, щоб увімкнути/вимкнути її.","Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","","","",""
"menu_mods_help_paused","Зміни наберуть чинності після наступного перезапуску.","Changes will be applied on next restart.","","","",""
"menu_mods_openmodfolder","Відкрити теку модифікацій","Open mod folder","","","",""
"menu_mods_restart","Перезапустити з увімкненими модифікаціями","Restart with enabled mods active","","","",""
"menu_mods_restart_tooltip","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","","","",""
"menu_mods_newgame","Почати нову гру з активними модифікаціями","Start a new game with enabled mods active","","","",""
"menu_mods_refresh","Оновити","Refresh","","","",""
"menu_mods_reenablenotificiation","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","","","",""
"menu_mods_extraprivilegesareyousure","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","","","",""
"menu_mods_extraprivilegesnotification","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","","","",""
"menu_mods_workshopsandboxnotification","Workshop mods cannot be enabled while unsafe mods are on.","Workshop mods cannot be enabled while unsafe mods are on.","","","",""
"menu_mods_enablinginvalid","This mod is broken and cannot be enabled [Error code #N0174H4X].","This mod is broken and cannot be enabled [Error code #N0174H4X].","","","",""
"menu_mods_sandboxoffareyousure","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","","","",""
"menu_mods_sandboxoffareyousure_steam","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","","","",""
"menu_mods_sandboxoption","Небезпечні модифікації: $0","Unsafe mods: $0","","","",""
"menu_mods_initerrors_title","Errors occurred while initializing mods:","Errors occurred while initializing mods:","","","",""
"menu_mods_customactivation","\nPlay this mod via the “New game” menu.","\nPlay this mod via the “New game” menu.","","","",""
"menu_mods_translationactivation","\nУвімкніть цей переклад через вкладку ""Мови"" в меню ""Налаштування"".","\nEnable this translation via “Language” in the “Options” menu.","","","",""
"menu_mods_nameconflict","Неможливо активувати декілька модифікацій з ідентифікатором ""$0"".","Cannot enable multiple mods with the id “$0”.","","","",""
"menu_mods_installmods","Завантажити моди","Get mods","","","",""
"menu_mods_installmods_steam","Встановити модифікації з Майстерні Steam","Install mods using Workshop","","","",""
"menu_mods_workshopdownloading","Завантаження вмісту Майстерні $0","Downloading Workshop content $0","","","",""
"menu_mods_workshop_mod_tooltip","Це мод з Майстерні Steam.","This is a Steam Workshop mod.","","","",""
"menu_mods_disclaimernotification_exp","Це експериментальна функція.\nВикористовуйте на свій страх і ризик!\nВам варто запускати модифікації тільки з перевірених джерел.","This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.","","","",""
"menu_mods_disclaimernotification","Використовуйте модифікацій на свій страх і ризик!\nВам варто запускати модифікації тільки з перевірених джерел.","Use of mods is at your own risk!\nYou should only run mods from trusted sources.","","","",""
"menu_mods_initerrors_log","Виникла помилка при ініціалізації наступних модифікацій: $0","There were errors when initializing following mods: $0","","","",""
"menu_mods_workshopdownloading_noprogress","Завантаження вмісту майстерні $0\nЯкщо завантаження не має прогресу,\nможливо варто змінити пріоритет завантажень в бібліотеці Steam.","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.","","","",""
"menu_mods_modversion_older","This mod has not been tested with the latest version of the modding interface.","This mod has not been tested with the latest version of the modding interface.","","","",""
"menu_mods_modversion_newer","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","","","",""
"menu_mods_incompatibilities","Модифікації (!)","Mods (!)","","","",""
"menu_mods_incompatibilities_tooltip","Деякі моди мають можливі несумісності","Some mods have possible incompatibilities","","","",""
"option_allowed","Дозволено","Allowed","","","",""
"option_disabled","Вимкнено","Disabled","","","",""
"menu_newgame_selectgamemode","Виберіть режим гри","Select game mode","","","",""
"menu_quit","Вийти","Quit","","","",""
"menuautosave_text","Автозбереження знайдено. Схоже, що гра вилетіла?\nЧи повинна гра спробувати відновити автозбереження?","Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?","","","",""
"menuautosave_text_mods","Деякі моди були увімкнені та, можливо, спричинили збій.","Some mods were enabled and might have caused the crash.","","","",""
"menuautosave_text_earlyaccess","Noita знаходиться в ранньому доступі, ми постараємося це виправити. :/","Noita is in early access, we'll try to fix this. :/","","","",""
"menuautosave_yes","Відновити","Restore","","","",""
"menuautosave_no","Та ну його. Знищіть його","Nah. Destroy it","","","",""
"menuoptions_configurecontrols_hint_gamepad","Натисніть B на контролері, щоб скинути до початкових","Press B on a control to reset it to default","","","",""
"menuoptions_configurecontrols_hint_keyboard","Натисніть правою кнопкою миші, щоб скинути до початкових","Right click on a key binding to reset it to default","","","",""
"menuoptions_privacypolicy","Політика конфіденційності","Privacy policy","","","",""
"menuoptions_showhoverinfonexttomouse","Show hovered material/item name next to mouse: $0","Show hovered material/item name next to mouse: $0","","","",""
"menuoptions_replayrecorder_tooltip_exp","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","","","",""
"menuoptions_replayrecorder_tooltip","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","","","",""
"menuoptions_application_rendered_cursor_hint","Turn this on in case you can't see the mouse cursor.","Turn this on in case you can't see the mouse cursor.","","","",""
"menuoptions_general","Загальні","General","","","",""
"menuoptions_graphics","Графіка","Graphics","","","",""
"menuoptions_audio","Аудіо","Audio","","","",""
"menuoptions_input","Введення","Input","","","",""
"menuoptions_streaming","Трансляція","Streaming","","","",""
"menuoptions_teleport_flash_brightness","Яскравість спалаху телепортації","Teleport flash brightness","","","",""
"menuoptions_gamepaddetected","Контролер виявлено!\nУвімкніть контролери через вкладку ""Введення"".","Gamepad detected!\nEnable gamepads via the Input tab.","","","",""
"menuoptions_replaybudget","Місце для повторів","Replay budget","","","",""
"menuoptions_heading_window","ВІКНО","WINDOW","","","",""
"menuoptions_heading_replayrecorder","REPLAY RECORDER","REPLAY RECORDER","","","",""
"menuoptions_heading_misc","РІЗНЕ","MISCELLANEOUS","","","",""
"menuoptions_heading_rendering","ВІЗУАЛІЗАЦІЯ","RENDERING","","","",""
"menuoptions_heading_userinterface_graphics","ІНТЕРФЕЙС КОРИСТУВАЧА","USER INTERFACE","","","",""
"menuoptions_heading_accessibility","ДОСТУПНІСТЬ","ACCESSIBILITY","","","",""
"menuoptions_heading_volume","ГУЧНІСТЬ","VOLUME","","","",""
"menuoptions_heading_userinterface_input","ІНТЕРФЕЙС КОРИСТУВАЧА","USER INTERFACE","","","",""
"menuoptions_heading_gamepad","КОНТРОЛЕР","GAMEPAD","","","",""
"menuoptions_heading_gameplay","ІГРОЛАД","GAMEPLAY","","","",""
"menuoptions_heading_compatibility","СУМІСНІСТЬ","COMPATIBILITY","","","",""
"menuoptions_heading_streaming_integration","КАНАЛ TWITCH","TWITCH CHANNEL","","","",""
"menuoptions_heading_streaming_integration_config","CONFIG","CONFIG","","","",""
"menuoptions_heading_streaming_integration_mods","МОДИНГ","MODDING","","","",""
"menuoptions_heading_streaming_enabled_events","УВІМКНУТИ ПОДІЇ","ENABLED EVENTS","","","",""
"menuoptions_format_seconds","$0 с","$0 s","","","",""
"menuoptions_format_megabytes","$0 МБ","$0 MB","","","",""
"menuoptions_heading_online","МЕРЕЖА","ONLINE","","","",""
"menuoptions_heading_userinterface_mouse","МИША","MOUSE","","","",""
"menuoptions_heading_controls","КЛАВІАТУРА/МИША","KEYBOARD/MOUSE","","","",""
"menuoptions_display_number","Відображати числа: $0","Display number: $0","","","",""
"menuoptions_online_features","Мережеві функції: $0","Online features: $0","","","",""
"menuoptions_online_features_hint","Вимкніть, щоб запобігти підключенню гри до серверів Nolla Games.\nЦе може перешкоджати роботі деяких функцій.","Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.","","","",""
"menuoptions_capturemouseinsidewindow","Заблокувати курсор всередині вікна: $0","Lock mouse inside the window: $0","","","",""
"menuoptions_pause_the_game_when_unfocused","Призупиняти гру при згортанні вікна: $0","Pause the game when unfocused: $0","","","",""
"menuoptions_ui_snappy_hover_boxes","Inventory hover box animations: $0","No hover box animations: $0","","","",""
"menuoptions_dithering","Anti color banding (dithering): $0","Anti color banding (dithering): $0","","","",""
"menuoptions_configuregamepad","Налаштування контролера","Configure gamepad controls","","","",""
"menuoptions_gamepad_analog_flying","Gamepad analog flying: $0","Gamepad analog flying","","","",""
"menuoptions_ui_allow_shooting_while_inventory_open","Allow firing of wands while inventory is open: $0","Allow firing of wands while inventory is open: $0","","","",""
"menuoptions_gamepad_throwsprayscheme","New gamepad throw/spray scheme: $0","New gamepad throw/spray scheme: $0","","","",""
"menuoldsavegame_text","A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.)","A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.)","","","",""
"menuoldsavegame_text_update9","Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?","Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?","","","",""
"menu_secretmode","Секретний режим","Secret Mode","","","",""
"menu_selectworld","Виберіть світ","Select world","","","",""
"menu_playtime","$0 год, $1 хв","$0h $1 min","","","",""
"menu_startnewworld","Почати новий світ","Start new world","","","",""
"menu_worldselect_deleteareyousure","Ви впевнені, що хочете видалити світ в комірці $0?\nЦя дія є незворотною.","Are you sure you want to delete the world in slot $0?\nThis cannot be undone.","","","",""
"menu_worldselect_deleteareyousure_playing","Ви впевнені, що хочете видалити світ, у якому зараз граєте?\nЦя дія є незворотною.","Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.","","","",""
"menu_worldselect_slot","Світ $0","World $0","","","",""
"menu_worldselect_slot_playing","World $0 – PLAYING","World $0 – PLAYING","","","",""
"menu_switchthrowandspray","We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.","We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.","","","",""
"menu_newgame_modschangedrestart","Гра буде перезавантажена через зміну модифікацій.","The game will restart due to mod changes.","","","",""
"menu_progress_new","Прогрес (Нового: $0)","Progress ($0 new)","","","",""
"menu_streamermode","Режим трансляції: $0","Streamer mode: $0","","","",""
"menu_streaming_description","Дозвольте глядачам взаємодіяти з грою через Twitch чат.","Let stream viewers interact with your game through the Twitch chat.","","","",""
"menu_streaming_description_details","Напишіть в чат ""1"", ""2"", ""3"", або ""4"", щоб проголосувати за\nрізноманітні події з гри.","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.","","","",""
"menu_streaming_connect","Під’єднати","Connect","","","",""
"menu_streaming_disconnect","Роз'єднати","Disconnect","","","",""
"menu_streaming_connect_twitch","Під'єднатися до Twitch акаунту","Connect to Twitch account","","","",""
"menu_streaming_status_connecting","- ПІД'ЄДНАННЯ...","- CONNECTING...","","","",""
"menu_streaming_status_connected","- ПІД'ЄДНАНО","- CONNECTED","","","",""
"menu_streaming_status_failed_unknown","- ПОМИЛКА ПІД'ЄДНАННЯ","- CONNECTION FAILED","","","",""
"menu_streaming_status_failed_serverconnection","- НЕМОЖЛИВО ЗНАЙТИ СЕРВЕР","- COULDN'T FIND SERVER","","","",""
"menu_streaming_status_failed_timeout","- ЧАС ВИЙШОВ - ТАКОГО КАНАЛУ НЕМАЄ?","- TIMEOUT - NO SUCH CHANNEL?","","","",""
"menu_streaming_connected","Під'єднано до акаунта Twitch: $0","Connected to Twitch account: $0","","","",""
"menu_streaming_connect_failed","Помилка автентифікації Twitch","Twitch authentication failed","","","",""
"menu_streaming_option","Streaming integration: $0","Streaming integration: $0","","","",""
"menu_streaming_channelname","Назва каналу:","Channel name:","","","",""
"menu_streaming_voting","Голоси чату: $0","Chat votes: $0","","","",""
"menu_streaming_voting_hint","Дозволити глядачам голосувати за події, що відбуваються в грі.","Allow stream viewers to vote on events that take place in the game.","","","",""
"menu_streaming_allowusernames","Відображати імена користувачів","Display user names","","","",""
"menu_streaming_allowusernames_hint","Allow events that display chat user names","Allow events that display chat user names","","","",""
"menu_streaming_timebetweenvotes","Час між голосуваннями","Time between votes","","","",""
"menu_streaming_timebetweenvotes_hint","","","","","",""
"menu_streaming_timevoting","Час голосування","Voting time","","","",""
"menu_streaming_timevoting_hint","Тривалість одного голосування","The duration of a single vote","","","",""
"menu_streaming_playvotesound","Відтворити звук при новому голосуванні: $0","Play sound on new vote: $0","","","",""
"menu_streaming_distribution","Розподіл подій для голосування","Vote event distribution","","","",""
"menu_streaming_distribution_hint","Жахливі = дуже ймовірно зіпсує ваш забіг.\nПогані = можуть статися погані речі.\nНейтральні = не обов'язково поганий або поганий.\nХороші = більше здоров'я та інших корисних подій.","Awful = very likely to ruin your run..\nBad = bad things can happen.\nNeutral = not necessarily goot or bad.\nGood = more health and other helpful events.","","","",""
"menu_streaming_distribution_awful","Жахлива","Awful","","","",""
"menu_streaming_distribution_bad","Погана","Bad","","","",""
"menu_streaming_distribution_neutral","Нейтральна","Neutral","","","",""
"menu_streaming_distribution_good","Хороша","Good","","","",""
"menu_streaming_usernames_ghosts","Tiny ghosts can be named after viewers: $0","Tiny ghosts can be named after viewers: $0","","","",""
"menu_streaming_usernames_rats","Rats can be named after viewers: $0","Rats can be named after viewers: $0","","","",""
"menu_streaming_installmods","Install streaming integration mods","Install streaming integration mods","","","",""
"menu_streaming_mod","Streaming integration content mod","Streaming integration content mod","","","",""
"streaming_integration_connectionerror","Connection error!","Connection error!","","","",""
"streaming_integration_nextvotein","Next vote in $0 s","Next vote in $0 s","","","",""
"streaming_integration_voteendsin","Voting ends in $0 s","Voting ends in $0 s","","","",""
"streaming_integration_voteoptionformat","$0 ($1) <$2","$0 ($1) <$2","","","",""
"streaming_integration_votetie","It's a tie! Picking random winner","It's a tie! Picking random winner","","","",""
"streaming_integration_winner","The winner is:","The winner is:","","","",""
"menu_replayedit_writinggif","Writing gif - please wait – press $0 to cancel","Writing gif - please wait – press $0 to cancel","","","",""
"menu_replayedit_writinggif_frameprogress","Кадр - $0 / $1 - $2%","Frame - $0 / $1 - $2%","","","",""
"menu_replayedit_writinggif_timeremaining","$0 с залишилося","$0 s remaining","","","",""
"menu_replayedit_returntogame","Повернутись до гри $0","Return to game $0","","","",""
"menu_replayedit_title_keyboard_exp","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.","","","",""
"menu_replayedit_title_gamepad_exp","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","","","",""
"menu_replayedit_title_keyboard","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.","","","",""
"menu_replayedit_title_gamepad","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","","","",""
"menu_replayedit_saveasgif","Зберегти як Gif [ENTER]","Save as Gif [ENTER]","","","",""
"menu_replayedit_opengifdir","Відкрити теку з Gif","Open gif directory","","","",""
"menu_replayedit_size","Розмір:","Size:","","","",""
"menu_replayedit_full","Повний","Full","","","",""
"menu_replayedit_sizeformat","$0x$1","$0x$1","","","",""
"menu_replayedit_outputscale","Output scale: $0%","Output scale: $0%","","","",""
"menu_replayedit_outputinfo1","Output: $0 frames - $1s","Output: $0 frames - $1s","","","",""
"menu_replayedit_outputinfo2","- $0x$1 пікселів","- $0x$1 px","","","",""
"menu_replayedit_startclip_gamepad","[A] - start clip on hovered frame.","[A] - start clip on hovered frame.","","","",""
"menu_replayedit_startclip_keyboard","Left click - start clip on hovered frame.","Left click - start clip on hovered frame.","","","",""
"menu_replayedit_endclip_gamepad","[B] - end clip on hovered frame.","[B] - end clip on hovered frame.","","","",""
"menu_replayedit_endclip_keyboard","Right click - end clip on hovered frame.","Right click - end clip on hovered frame.","","","",""
"menu_replayedit_frame","Кадр = $0","Frame = $0","","","",""
"menu_replayedit_imagecenter","ЛКМ - встановити центр зображення.","Left click - set image center.","","","",""
"progress_new","$0 (Нове)","$0 (new)","","","",""
"log_golden_statue","Picked a golden statue","Picked a golden statue","","","",""
"logdesc_golden_statue","Ви отримали $0 золота!","You got $0 gold!","","","",""
"logdesc_heart_evil","Increased maximum health to $0 ...with the cost of being cursed!","Increased maximum health to $0 ...with the cost of being cursed!","","","",""
"log_altar_magic","Your curiosity is rewarded","Your curiosity is rewarded","","","",""
"log_altar_magic_monster","Your curiosity is rewarded, but...","Your curiosity is rewarded, but...","","","",""
"log_altar_magic_worm","Це не те, що ви шукали!","That is not what you seek!","","","",""
"log_moon_altar","The four essences reveal their secret","The four essences reveal their secret","","","",""
"logdesc_moon_altar","The moon's egg cracks open. Its contents have been unlocked","The moon's egg cracks open. Its contents have been unlocked","","","",""
"logdesc_moon_altar_drunk","The moon spills and unlocks its inebriating contents","The moon spills and unlocks its inebriating contents","","","",""
"log_heart_fullhp_temple","Ви підібрали повну регенерацію здоров'я","Picked up Full Health Regeneration","","","",""
"logdesc_heart_fullhp_temple","Increased maximum health by $0 and restored health to $1 (regained $2 health)","Increased maximum health by $0 and restored health to $1 (regained $2 health)","","","",""
"log_worm_deflector_death","Кристал хробака розбитий!","The worm crystal has shattered!","","","",""
"logdesc_worm_deflector_death","Ви відчуваєте себе менш безпечно...","You feel less safe...","","","",""
"logdesc_heart_fullhp","Відновлено здоров'я до $ 0 (зцілено $1 здоров'я)","Restored health to $0 (regained $1 health)","","","",""
"log_ocarina","Світ навколо вас змінюється!","The world around you changes!","","","",""
"logdesc_ocarina","Ваша музика випромінює дивні сили","Your music released strange energies","","","",""
"log_ocarina_done","Схоже, що музична сила зникла...","Seems like the musical energy is gone...","","","",""
"log_overingestion_00","Ви давитеся їжею","You're choking on food","","","",""
"log_overingestion_01","Якщо ви з'їсте більше, це може вбити вас","Eating any more might kill you","","","",""
"log_overingestion_02","Ви давитеся їжею","You're choking on food","","","",""
"log_overingestion_03","Якщо з'їсти більше, це може вбити вас","Eating any more might kill you","","","",""
"log_overingestion_04","Ви давитеся їжею","You're choking on food","","","",""
"log_overingestion_05","Якщо з'їсти більше, це може вбити вас","Eating any more might kill you","","","",""
"log_overingestion_exploding_00","You're bursting at the seams","You're bursting at the seams","","","",""
"log_overingestion_exploding_01","You're feeling like you'll soon explode","You're feeling like you'll soon explode","","","",""
"log_overingestion_exploding_02","You're bursting at the seams","You're bursting at the seams","","","",""
"log_overingestion_exploding_03","You're feeling like you'll soon explode","You're feeling like you'll soon explode","","","",""
"log_overingestion_exploding_04","You're feeling an explosive tightness in your stomach","You're feeling an explosive tightness in your stomach","","","",""
"log_overingestion_exploding_05","You're feeling an explosive tightness in your stomach","You're feeling an explosive tightness in your stomach","","","",""
"log_kantele","The world around you changes!","The world around you changes!","","","",""
"logdesc_kantele","Your music released strange energies","Your music released strange energies","","","",""
"log_kantele_done","Seems like the musical energy is gone...","Seems like the musical energy is gone...","","","",""
"log_alchemist_key_first","The key begins to hum!","The key begins to hum!","","","",""
"logdesc_alchemist_key_first","Something is still missing...","Something is still missing...","","","",""
"log_alchemist_key_second","The key begins to whisper!","The key begins to whisper!","","","",""
"logdesc_alchemist_key_second","”Я можу дати тобі так багато в обмін на...”","”I can give you so much in exchange for...”","","","",""
"log_alchemist_key_invalid","Здається, нічого не відбулося...","Nothing seemed to happen...","","","",""
"log_alchemist_chest_open","The glass key speaks!","The glass key speaks!","","","",""
"logdesc_alchemist_chest_open","Скриня слухає","The chest listens","","","",""
"log_alchemist_chest_opened","The glass key speaks again!","The glass key speaks again!","","","",""
"logdesc_alchemist_chest_opened","Скриня продовжує слухати","The chest keeps listening","","","",""
"log_castdelaying","ЗАТРИМКА ЗАКЛИНАННЯ...","CAST DELAY...","","","",""
"log_weathercrystal_broken","Проклятий жадібністю!","Cursed by greed!","","","",""
"logdesc_weathercrystal_broken","Ваше прагнення до скарбів неодмінно стане вашою погибеллю.","Your desire for treasures will surely be your undoing.","","","",""
"log_curse_fade","The curse fades away","The curse fades away","","","",""
"logdesc_curse_fade","You're safe again... for now","You're safe again... for now","","","",""
"logdesc_gods_are_impressed","Боги дуже вражені вами","The Gods are very impressed with you","","","",""
"logdesc_gods_are_afraid","Боги налякані","The Gods are afraid","","","",""
"logdesc_gods_are_curious","Боги дуже зацікавлені","The Gods are very curious","","","",""
"logdesc_temple_peace_temple_break","Боги дивляться в інший бік","The Gods look the other way","","","",""
"log_altar_success_00","Боги приймають вашу жертву","The Gods accept your sacrifice","","","",""
"log_altar_success_01","Боги задоволені вашою жертвою","The Gods are satisfied with your sacrifice","","","",""
"log_altar_success_02","Боги раді вашій жертві","The Gods are happy with your sacrifice","","","",""
"log_altar_fail_00","Боги не раді вашій жертві","The Gods aren't happy with your sacrifice","","","",""
"log_altar_fail_01","Боги насміхаються над вашим непідготовленим жертвоприношенням","The Gods sneer at your untrained sacrifice","","","",""
"log_altar_fail_02","Боги насміхаються з вашої грубої жертви","The Gods mock your crude sacrifice","","","",""
"log_altar_fail_03","The Gods scorn at your illiterate sacrifice","The Gods scorn at your illiterate sacrifice","","","",""
"log_reality_mutation_00","Your reality is shaken","Your reality is shaken","","","",""
"log_reality_mutation_01","You sense things are no longer what they used to be","You sense things are no longer what they used to be","","","",""
"log_reality_mutation_02","You feel something has changed","You feel something has changed","","","",""
"log_reality_mutation_03","You feel the rules of the Cosmos have shifted","You feel the rules of the Cosmos have shifted","","","",""
"log_reality_mutation_04","You sense the reality has shifted","You sense the reality has shifted","","","",""
"log_reality_mutation_05","The reality has shifted","The reality has shifted","","","",""
"status_reality_mutation","The reality has shifted","The reality has shifted","","","",""
"statusdesc_reality_mutation","You sense things are no longer what they used to be.","You sense things are no longer what they used to be.","","","",""
"booktitle_allspells","Map of Gnosis","Map of Gnosis","","","",""
"bookdesc_allspells","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.","","","",""
"reward_gold_statue","Золота статуя","Golden statue","","","",""
"reward_clock","Dedicated to 5 minutes","Dedicated to 5 minutes","","","",""
"reward_minit","1 minute?!","1 minute?!","","","",""
"reward_nolla","No gold","No gold","","","",""
"reward_dollar","All the monies","All the monies","","","",""
"reward_peace","Pacifist","Pacifist","","","",""
"reward_crown","King","King","","","",""
"reward_nohit","Undamaged","Undamaged","","","",""
"controls_use","interact","interact","","","",""
"controls_replayeditopen","save replay","save replay","","","",""
"controls_usewand","use wand","use wand","","","",""
"teleport_mystery","Portal to the Tower","Portal to the Tower","","","",""
"teleport_mystery_back","Portal back to the Mountain","Portal back to the Mountain","","","",""
"teleport_world","Portal to a faraway land","Portal to a faraway land","","","",""
"teleport_deeper","Portal deeper","Portal deeper","","","",""
"teleport_ending","Portal to The Laboratory","Portal to The Laboratory","","","",""
"teleport_ending_victory","Portal to The Work","Portal to The Work","","","",""
"teleport_end_wall","Portal to Crystal vault","Portal to Crystal vault","","","",""
"teleport_generic","Портал","Portal","","","",""
"teleport_back","Портал назад","Portal back","","","",""
"gamemode_normal","Нова гра","New Game","","","",""
"gamemode_normal_desc","Дослідіть новий світ.\nОригінальний досвід Noita.","Explore a new world.\nThe original Noita experience.","","","",""
"gamemode_dailyrun","Щоденний забіг","Daily Run","","","",""
"gamemode_dailyrun_desc","Новий день - новий світ.\nДеякі початкові предмети випадкові.\nКожен гравець грає з ідентичним ключем генерації.\nБудьте обережні, ви можете зіграти лише раз на 24 години.","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.","","","",""
"gamemode_nightmare_exp","Кошмар (експерементальний)","Nightmare (experimental)","","","",""
"gamemode_nightmare","Кошмар","Nightmare","","","",""
"gamemode_nightmare_desc","Для більш випробувального досвіду.\nВідкривається після проходження гри.","For a more challenging experience.\nUnlock this mode by completing the game.","","","",""
"gamemode_newgameplus","Нова гра+ (експериментальна)","New Game+ (experimental)","","","",""
